Date,Output
2025-05-05,15.6
2025-05-06,15.6
2025-05-07,7.199999999999999
2025-05-08,5.3999999999999995
2025-05-09,15.0
2025-05-10,6.0
2025-05-11,11.4
2025-05-12,6.6
2025-05-13,18.0
2025-05-14,13.2
2025-05-15,3.5999999999999996
2025-05-16,18.0
2025-05-17,15.0
2025-05-18,12.6
2025-05-19,6.6
2025-05-20,7.8
2025-05-21,4.2
2025-05-22,4.2
2025-05-23,16.8
2025-05-24,12.6
2025-05-25,13.799999999999999
2025-05-26,13.799999999999999
2025-05-27,12.0
2025-05-28,16.2
2025-05-29,13.799999999999999
2025-05-30,14.399999999999999
2025-05-31,11.4
2025-06-01,27.0
2025-06-02,10.5
2025-06-03,31.5
2025-12-12,13.799999999999999
2025-12-13,12.6
2025-12-14,10.2
2025-12-15,10.2
2025-12-16,15.0
2025-12-17,5.3999999999999995
2025-12-18,3.0
2025-12-19,6.6
2025-12-20,14.399999999999999
2025-12-21,17.4
2025-12-22,11.4
2025-12-23,9.0
